,Survata Interview ID,Date (UTC),Period,Length of Interview (seconds),Country,State,Metro Area,Postal Code,Region,Division,City,Gender,Age,Operating System,Web Browser,Exposure Stamps
26,9bf3775f-b79e-47df-b01d-ab408911f92c,2017-10-01 17:54:47.0,1,77,US,TX,HOUSTON,77494,South,West South Central,Katy,male,45 to 54,windows,chrome,
27,07a1c451-135f-4d40-950f-081fdbb9af63,2017-10-21 16:31:40.0,2,134,US,IL,CHICAGO,60138,Midwest,East North Central,Glen Ellyn,female,35 to 44,ios,other,
28,60dda4ea-4830-452e-ba20-34be6acd5ce1,2017-10-23 13:04:34.0,2,90,US,IL,CHICAGO,60031,Midwest,East North Central,Gurnee,male,25 to 34,ios,safari,
29,68c5e638-a147-47ba-9f8a-eec5398c2152,2017-10-29 05:06:59.0,3,130,US,OH,CLEVELAND-AKRON (CANTON),44024,Midwest,East North Central,Chardon,male,45 to 54,windows,chrome,"2017-10-16 22:25:37.0 : 406497652,20367831,93687450,206211490,4038699 | 2017-10-17 04:57:03.0 : 406497652,20367831,93687441,206211490,4038699 | 2017-10-27 04:39:59.0 : 406497652,20367831,93687450,206211436,4038699"
30,f7fd2b96-08e1-4ef8-99c9-51baab892040,2017-10-22 00:19:17.0,2,124,US,TN,NASHVILLE,37129,South,East South Central,Murfreesboro,male,45 to 54,windows,chrome,"2017-09-26 17:59:48.0 : 402716177,20184888,91491765,202891056,4038699 | 2017-09-27 14:36:20.0 : 403090338,20184888,91503048,203272065,4096633 | 2017-09-27 14:36:20.0 : 403048760,20184888,91529912,203266392,4096633 | 2017-09-27 14:36:21.0 : 403048760,20184888,91529912,203266392,4096633 | 2017-09-27 14:36:21.0 : 403048760,20184888,91529912,203266392,4096633"
31,0f74f336-c5e3-4bc9-9116-0b9c85e0011b,2017-09-30 17:02:03.0,1,118,US,FL,ORLANDO-DAYTONA BCH-MELBRN,32809,South,South Atlantic,Orlando,male,55 to 64,windows,firefox,
32,11a6ec33-76df-4596-ae41-161a119117c5,2017-11-02 19:25:56.0,3,104,US,CA,LOS ANGELES,90056,West,Pacific,Los Angeles,male,45 to 54,macos,chrome,
33,ab16c61f-8633-4a12-812c-f5c2c5ab5a11,2017-10-06 02:32:59.0,2,136,US,TX,DALLAS-FT. WORTH,75071,South,West South Central,Mckinney,male,45 to 54,macos,chrome,"2017-09-10 02:44:23.0 : 403472406,20184888,91529912,203705425,4082313 | 2017-09-10 02:45:55.0 : 403472406,20184888,91529912,203705425,4082313 | 2017-09-10 02:46:15.0 : 403472406,20184888,91529912,203705425,4082313 | 2017-09-10 02:46:45.0 : 403472406,20184888,91529912,203705425,4082313 | 2017-09-10 02:47:15.0 : 403472406,20184888,91529912,203705425,4082313 | 2017-09-10 02:47:56.0 : 403472406,20184888,91529912,203705425,4082313 | 2017-09-10 02:48:07.0 : 403472406,20184888,91529912,203705425,4082313 | 2017-09-10 02:48:11.0 : 403498984,20184888,92027666,203714685,4082313 | 2017-09-10 02:48:40.0 : 403472406,20184888,91529912,203705425,4082313 | 2017-09-10 02:50:43.0 : 403472406,20184888,91529912,203705425,4082313 | 2017-09-10 02:52:45.0 : 403472406,20184888,91529912,203705425,4082313 | 2017-09-10 02:54:14.0 : 403472406,20184888,91529912,203705425,4082313 | 2017-09-10 02:54:21.0 : 403472406,20184888,91529912,203705425,4082313 | 2017-09-10 02:54:39.0 : 403472406,20184888,91529912,203705425,4082313 | 2017-09-10 02:54:40.0 : 403498984,20184888,92027666,203714685,4082313 | 2017-09-10 02:56:58.0 : 403472406,20184888,91529912,203705425,4082313 | 2017-09-10 03:15:36.0 : 403472406,20184888,91529912,203705425,4082313 | 2017-09-10 03:17:14.0 : 403472406,20184888,91529912,203705425,4082313 | 2017-09-10 03:19:35.0 : 403472406,20184888,91529912,203705425,4082313 | 2017-09-10 03:19:49.0 : 403472406,20184888,91529912,203705425,4082313 | 2017-09-10 03:25:59.0 : 403472406,20184888,91529912,203705425,4082313 | 2017-09-10 03:29:31.0 : 403498984,20184888,92027666,203714685,4082313 | 2017-09-10 03:30:14.0 : 403472406,20184888,91529912,203705425,4082313 | 2017-09-10 03:30:16.0 : 403472406,20184888,91529912,203705425,4082313 | 2017-09-10 03:33:22.0 : 403472406,20184888,91529912,203705425,4082313 | 2017-09-10 03:45:14.0 : 403472406,20184888,91529912,203705425,4082313 | 2017-09-10 03:49:00.0 : 403472406,20184888,91529912,203705425,4082313 | 2017-09-10 03:58:01.0 : 403472406,20184888,91529912,203705425,4082313"
34,a15b1f2d-9e81-4566-a804-5112adab466a,2017-10-23 00:20:12.0,2,158,US,MD,"WASHINGTON, DC (HAGRSTWN)",20716,South,South Atlantic,Bowie,male,25 to 34,android,chrome,
35,c0a09cb4-1712-4b15-958f-b3d92133e619,2017-11-10 02:36:15.0,3,74,US,CA,MONTEREY-SALINAS,93901,West,Pacific,Salinas,female,18 to 24,ios,safari,"2017-10-31 17:13:03.0 : 406502662,20367831,93660727,206149967,4101327"
36,193dd3c6-30fb-4788-8f8e-b6fe7f9bffb7,2017-09-20 05:56:30.0,1,121,US,WI,MILWAUKEE,53204,Midwest,East North Central,Milwaukee,male,25 to 34,macos,safari,"2017-09-13 06:24:42.0 : 403307443,20184888,91909757,203476057,4090636"
37,bd11b7e5-34ec-4ff8-ad20-e0c6bfbe8048,2017-10-25 16:00:53.0,2,116,US,AL,BIRMINGHAM (ANN AND TUSC),35201,South,East South Central,Birmingham,male,35 to 44,windows,chrome,
38,a7632039-6279-46fe-9227-0aaba38dae5c,2017-09-28 11:52:01.0,1,269,US,LA,NEW ORLEANS,70301,South,West South Central,Thibodaux,female,18 to 24,android,chrome,"2017-09-16 01:09:18.0 : 403273103,20184888,91491765,203476790,4101315"
39,722704ae-99da-470d-9f04-11d74044ba2c,2017-10-24 14:26:11.0,2,78,US,OH,CINCINNATI,45220,Midwest,East North Central,Cincinnati,female,18 to 24,macos,chrome,
40,ba52cd24-8e3c-4a7d-97c5-37fd6ca89294,2017-10-25 00:56:21.0,2,186,US,CA,LOS ANGELES,92804,West,Pacific,Anaheim,male,25 to 34,ios,safari,
41,ed5d6c56-e6f2-4e5e-8e3f-4999f909a00f,2017-10-17 00:25:12.0,2,149,US,FL,JACKSONVILLE,32255,South,South Atlantic,Jacksonville,female,25 to 34,android,chrome,"2017-09-27 00:56:37.0 : 403273103,20184888,91491765,203476790,4101315"
42,dc1199b4-b465-4130-9182-0f4b1a5a4c58,2017-09-01 21:07:51.0,1,143,US,AL,BIRMINGHAM (ANN AND TUSC),35486,South,East South Central,Tuscaloosa,female,25 to 34,android,chrome,
43,84339866-0083-4d85-9362-c647c0caac0c,2017-09-16 03:22:57.0,1,178,US,TX,HOUSTON,77545,South,West South Central,Fresno,female,25 to 34,windows,chrome,"2017-09-04 20:20:27.0 : 403271900,20184888,91529912,203475988,4101315"
44,08b3827e-cb07-4bc4-8ab1-508aa78fb3fc,2017-10-12 00:02:49.0,2,117,US,NC,CHARLOTTE,28277,South,South Atlantic,Charlotte,female,55 to 64,windows,chrome,
45,6f95658b-6ac5-487a-93b7-46fad385be8e,2017-10-19 16:41:59.0,2,119,US,TN,MEMPHIS,38340,South,East South Central,Henderson,male,25 to 34,other,chrome,
46,634e8d4b-369e-487c-83fe-afd69f546465,2017-10-09 02:54:37.0,2,158,US,NY,NEW YORK,10469,Northeast,Mid-Atlantic,Bronx,female,35 to 44,android,chrome,"2017-09-10 00:53:48.0 : 403082938,20184888,91645285,203243047,4096080"
47,70424703-04ec-4925-9019-e511bbc2d58a,2017-11-07 19:20:56.0,3,133,US,GA,SAVANNAH,31401,South,South Atlantic,Savannah,female,35 to 44,windows,chrome,
48,89551e9f-c9da-4a99-8f92-47a54157d549,2017-09-20 16:04:43.0,1,111,US,OH,CLEVELAND-AKRON (CANTON),44805,Midwest,East North Central,Ashland,female,25 to 34,windows,chrome,
49,0e2d47cb-621e-4c97-95df-510a618d5ea0,2017-11-04 03:38:27.0,3,66,US,OH,"COLUMBUS, OH",43050,Midwest,East North Central,Mount Vernon,female,45 to 54,windows,chrome,
50,eb38f43e-1759-43d1-920d-225774cd9500,2017-10-15 17:34:16.0,2,132,US,KY,CINCINNATI,41071,South,East South Central,Newport,male,65 and over,windows,ie,
51,d69d91bb-cd55-4752-a78c-a95055e44990,2017-08-21 03:58:02.0,1,70,US,AZ,PHOENIX (PRESCOTT),85374,West,Mountain,Surprise,female,45 to 54,macos,chrome,"2017-08-20 04:37:09.0 : 403533592,20184888,91491765,203740465,4088207 | 2017-08-20 04:37:16.0 : 403533592,20184888,91491765,203740465,4088207 | 2017-08-20 04:37:23.0 : 402735577,20184888,91495533,202895463,4038699"
52,0791d7dd-eb3a-41ec-8ba8-c8348870fcc9,2017-10-29 05:31:48.0,3,96,US,NC,GREENSBORO-H.POINT-W.SALEM,27040,South,South Atlantic,Pfafftown,female,45 to 54,windows,chrome,"2017-10-12 01:33:23.0 : 406536958,20367831,93684192,206150126,4090636"
53,e7a44304-d1e9-4b5c-9cc2-207fff07eac4,2017-10-21 20:27:27.0,2,97,US,MN,MINNEAPOLIS-ST. PAUL,55412,Midwest,West North Central,Minneapolis,female,25 to 34,ios,safari,
54,a1fa210d-827b-46e2-addc-3ce70f485dcc,2017-08-24 19:54:17.0,1,80,US,GA,AUGUSTA-AIKEN,30907,South,South Atlantic,Augusta,male,45 to 54,windows,chrome,
55,42437e52-f72a-4e42-95cd-71ee1946b3ce,2017-10-24 10:37:54.0,2,122,US,MI,GRAND RAPIDS-KALMZOO-B.CRK,49441,Midwest,East North Central,Muskegon,female,18 to 24,android,chrome,
56,421c3dc4-7a4b-4ae2-8994-8a329d5cf9cb,2017-09-12 14:06:18.0,1,289,US,FL,MOBILE-PENSACOLA (FT WALT),32507,South,South Atlantic,Pensacola,male,13 to 17,windows,firefox,
57,69c5dc56-77df-4602-84e0-bc0ce8a8d5c5,2017-10-20 22:40:42.0,2,109,US,NY,NEW YORK,11105,Northeast,Mid-Atlantic,Astoria,female,35 to 44,ios,other,
58,b5ced4d6-c27e-491a-8e8c-66c6bd047902,2017-10-22 19:23:15.0,2,134,US,GA,ATLANTA,30655,South,South Atlantic,Monroe,male,35 to 44,android,none,
59,623d28dd-5bda-4bab-94af-9034585ccd7c,2017-11-04 18:58:49.0,3,148,US,NY,BUFFALO,14224,Northeast,Mid-Atlantic,Buffalo,female,45 to 54,windows,firefox,
60,e20c86fd-7758-437f-a0a7-bfd81efc681d,2017-09-18 14:24:12.0,1,302,US,CA,MONTEREY-SALINAS,93905,West,Pacific,Salinas,female,45 to 54,windows,chrome,
61,bc18b4bb-e227-4a46-9570-d9136faabb79,2017-10-09 16:17:42.0,2,134,US,KY,LOUISVILLE,40218,South,East South Central,Louisville,male,18 to 24,android,chrome,"2017-10-06 02:00:20.0 : 405950020,20367831,91495470,206149610,4101327"
62,b6f4d323-e8e9-4ea0-adf4-867063624419,2017-09-20 16:27:11.0,1,110,US,KY,LEXINGTON,40502,South,East South Central,Lexington,female,45 to 54,android,chrome,
63,afd898f3-68c9-46fa-a676-5854df482e1b,2017-09-30 03:09:54.0,1,204,US,VA,RICHMOND-PETERSBURG,23847,South,South Atlantic,Emporia,female,65 and over,windows,chrome,
64,ac5f1436-a476-437a-9c44-23ec4e94990a,2017-10-27 16:36:52.0,2,128,US,IN,LOUISVILLE,47111,Midwest,East North Central,Charlestown,female,55 to 64,android,chrome,
65,009e1ed0-04b4-4ecf-bbeb-cb232d52c0df,2017-08-06 12:36:00.0,1,154,US,NY,NEW YORK,11520,Northeast,Mid-Atlantic,Freeport,male,55 to 64,windows,chrome,"2017-08-05 14:14:00.0 : 402938329,20184888,91521872,203124036,4088207"
66,b743995f-d152-4778-a30f-d8517762a1fc,2017-10-21 07:06:10.0,2,94,US,WI,MINNEAPOLIS-ST. PAUL,54016,Midwest,East North Central,Hudson,male,35 to 44,ios,safari,
67,5a232bc7-fab3-4d11-8ea4-91ecfea44e87,2017-11-11 18:20:22.0,3,86,US,TN,NASHVILLE,37083,South,East South Central,Lafayette,female,35 to 44,android,chrome,
68,c8ba7e6e-59c9-4c17-8a22-cecb95aeab63,2017-10-21 17:35:39.0,2,101,US,TX,SAN ANTONIO,78028,South,West South Central,Kerrville,female,45 to 54,windows,chrome,
69,7b181378-0599-46bf-8ddc-70fdc1ff6f59,2017-09-04 20:45:15.0,1,110,US,IL,DAVENPORT-R.ISLAND-MOLINE,61462,Midwest,East North Central,Monmouth,female,18 to 24,android,chrome,"2017-08-24 17:27:59.0 : 403083241,20184888,91495470,203266401,4101327 | 2017-08-24 17:32:37.0 : 403060619,20184888,91495470,203266115,4101327"
70,ad1a8b20-033e-4a29-9cc5-52e837edf41b,2017-10-15 17:00:11.0,2,126,US,SC,"COLUMBIA, SC",29108,South,South Atlantic,Newberry,female,25 to 34,ios,safari,
71,de8d9094-d04b-4834-b5c4-7c7ae6bdb9ae,2017-10-21 10:02:24.0,2,208,US,OR,"PORTLAND, OR",97007,West,Pacific,Beaverton,male,45 to 54,android,chrome,
72,8e2808b6-dbf1-4fa5-a12b-e2fb1e100898,2017-10-25 21:55:08.0,2,148,US,IN,INDIANAPOLIS,47203,Midwest,East North Central,Columbus,male,65 and over,windows,chrome,
73,f06f671b-ca29-4caa-ab27-79c923aea45f,2017-08-21 22:32:36.0,1,85,US,CO,DENVER,80543,West,Mountain,Milliken,female,18 to 24,other,chrome,
74,b1dcceb1-9171-47d2-8377-a5f12f54726b,2017-11-09 01:12:36.0,3,96,US,NC,CHARLOTTE,28133,South,South Atlantic,Peachland,female,45 to 54,ios,safari,
75,a10afd49-93ef-4204-90f8-e52eacb423ff,2017-11-10 21:07:31.0,3,357,US,CA,LOS ANGELES,90014,West,Pacific,Los Angeles,male,35 to 44,ios,safari,
76,5c10132f-0273-4ceb-b6cc-da2712fed6d2,2017-10-22 00:40:26.0,2,156,US,OH,CINCINNATI,45208,Midwest,East North Central,Cincinnati,female,55 to 64,windows,chrome,
77,819709b3-aabc-41a8-b0ef-d5a2917c7105,2017-10-03 11:37:54.0,1,75,US,MA,BOSTON (MANCHESTER),01702,Northeast,New England,Framingham,female,35 to 44,ios,safari,
78,55be0ee8-253b-4b45-b1f9-18c02b863c56,2017-10-04 14:45:04.0,2,329,US,CA,LOS ANGELES,90009,West,Pacific,Los Angeles,male,45 to 54,android,other,
79,f8eb0d3b-cc03-46f8-b34d-2e1cb81f6ea7,2017-09-02 23:16:10.0,1,128,US,GA,ATLANTA,30064,South,South Atlantic,Marietta,female,55 to 64,ios,safari,
80,3b36e8d0-344b-470c-9906-55c85c64f044,2017-11-10 20:57:23.0,3,205,US,AZ,PHOENIX (PRESCOTT),85018,West,Mountain,Phoenix,male,25 to 34,ios,safari,
81,ad868893-0937-45cd-a05e-5dfe2c8dd7b5,2017-08-30 19:16:07.0,1,148,US,CA,SAN DIEGO,92108,West,Pacific,San Diego,male,65 and over,macos,safari,
82,d82ce774-86e5-4b50-a9ce-3435211bb6f0,2017-10-09 16:52:12.0,2,132,US,NE,LINCOLN & HASTINGS-KRNY,68845,Midwest,West North Central,Kearney,female,18 to 24,android,none,
83,f24728b0-9fca-4fc3-b06c-e14f45dba504,2017-10-24 08:18:30.0,2,309,US,CA,SACRAMNTO-STKTON-MODESTO,95204,West,Pacific,Stockton,female,25 to 34,android,chrome,
84,d59ec8b4-2172-4078-ab37-da782558012f,2017-11-06 01:10:55.0,3,108,US,NM,ALBUQUERQUE-SANTA FE,87121,West,Mountain,Albuquerque,male,25 to 34,android,chrome,"2017-10-09 01:44:21.0 : 405943845,20367831,91495470,206209678,4101315"
85,0e202edb-ef0c-4647-84ae-4cfb1edf6bf6,2017-10-17 04:22:08.0,2,163,US,WI,LA CROSSE-EAU CLAIRE,54650,Midwest,East North Central,Onalaska,male,25 to 34,ios,safari,"2017-10-10 00:35:59.0 : 405934356,20367831,91495470,206152637,4038699"
86,c7ee69da-2a22-46d1-801a-cb2a6e6cd9e5,2017-10-22 12:53:06.0,2,197,US,NY,NEW YORK,11368,Northeast,Mid-Atlantic,Corona,female,55 to 64,ios,safari,
87,030b130a-6455-4713-a20f-9a79bdf6b373,2017-09-06 00:33:53.0,1,185,US,MN,MINNEAPOLIS-ST. PAUL,56347,Midwest,West North Central,Long Prairie,female,35 to 44,ios,safari,
88,3dc5f123-8b76-4e3f-a647-2619bb53cd61,2017-10-15 19:05:16.0,2,79,US,NE,LINCOLN & HASTINGS-KRNY,68803,Midwest,West North Central,Grand Island,female,55 to 64,other,chrome,
89,34a6f9df-edfe-44d9-bb5e-dbe7cc8bfa7d,2017-10-16 20:15:04.0,2,104,US,VA,RICHMOND-PETERSBURG,23116,South,South Atlantic,Mechanicsville,male,55 to 64,windows,chrome,"2017-10-08 23:42:02.0 : 406013406,20367831,91503048,206198167,4119256"
90,9e5feb06-67c0-4e69-a14e-412e2c479224,2017-10-29 16:08:15.0,3,139,US,CA,LOS ANGELES,92683,West,Pacific,Westminster,male,55 to 64,ios,safari,
91,77db9206-b52d-4191-9255-8c99a842f7cb,2017-10-21 18:51:45.0,2,71,US,WA,SEATTLE-TACOMA,98516,West,Pacific,Olympia,male,35 to 44,ios,safari,
92,e4897bfc-b438-4d8f-8949-d353e93e7ce7,2017-10-25 18:11:55.0,2,88,US,NY,BUFFALO,14211,Northeast,Mid-Atlantic,Buffalo,female,65 and over,windows,chrome,
93,67c03001-abcc-4f26-9b74-032a82c8a54d,2017-10-24 11:21:49.0,2,109,US,NY,BUFFALO,14094,Northeast,Mid-Atlantic,Lockport,female,18 to 24,windows,chrome,
94,1b2d687c-3a49-4214-8fae-be80b6db16e6,2017-09-29 19:24:25.0,1,174,US,LA,NEW ORLEANS,70448,South,West South Central,Mandeville,female,45 to 54,ios,none,
95,a989dcbb-74b5-47e6-99fd-7c48cc668c35,2017-10-01 13:56:21.0,1,128,US,FL,JACKSONVILLE,32259,South,South Atlantic,Jacksonville,male,45 to 54,windows,firefox,
96,6cc04a84-7351-47a3-9a1b-efb68613878a,2017-08-09 16:04:48.0,1,174,US,CA,LOS ANGELES,90009,West,Pacific,Los Angeles,female,55 to 64,windows,other,
97,48756dec-3c15-4e86-8591-f237b0df423d,2017-10-27 02:01:54.0,2,167,US,NV,LAS VEGAS,89107,West,Mountain,Las Vegas,female,65 and over,ios,safari,
98,55483d90-4e60-4cb1-b576-c78a429fb527,2017-09-02 06:04:29.0,1,219,US,MI,DETROIT,48186,Midwest,East North Central,Westland,female,18 to 24,android,chrome,
99,4ce0d4bb-5c42-4cc6-b344-e74d53bd7331,2017-08-29 14:14:54.0,1,68,US,SC,MYRTLE BEACH-FLORENCE,29511,South,South Atlantic,Aynor,female,25 to 34,other,chrome,
100,c53a4087-1720-4bd8-ae4d-9b6ea720a1e0,2017-10-21 19:19:45.0,2,56,US,FL,JACKSONVILLE,32084,South,South Atlantic,Saint Augustine,female,45 to 54,windows,chrome,
101,f1d5537f-d7bd-4fa9-8df4-83878d84d8da,2017-09-27 06:43:34.0,1,77,US,CT,HARTFORD & NEW HAVEN,06106,Northeast,New England,Hartford,female,13 to 17,android,chrome,"2017-08-13 00:00:27.0 : 403083241,20184888,91495470,203270799,4101327 | 2017-08-13 16:05:08.0 : 403083241,20184888,91495470,203270799,4101327 | 2017-08-20 19:32:46.0 : 403083241,20184888,91495470,203266401,4101327 | 2017-08-20 19:33:23.0 : 403083241,20184888,91495470,203270799,4101327 | 2017-08-20 19:34:45.0 : 403060619,20184888,91495470,203266115,4101327 | 2017-08-31 15:57:30.0 : 403083241,20184888,91495470,203270799,4101327 | 2017-08-31 16:19:37.0 : 403083241,20184888,91495470,203270799,4101327"
102,a1ddad89-29b9-4b54-83c2-8c5a68a4c136,2017-10-24 02:02:35.0,2,237,US,PA,PHILADELPHIA,19604,Northeast,Mid-Atlantic,Reading,male,55 to 64,windows,other,
103,d47342ca-d1ca-44d3-b345-37cb34a57603,2017-10-22 19:19:15.0,2,128,US,NY,SYRACUSE,13090,Northeast,Mid-Atlantic,Liverpool,male,55 to 64,macos,safari,
104,6d910afc-1dff-435f-9a38-0b8b7b7f3b34,2017-10-25 19:47:23.0,2,163,US,WI,MADISON,53566,Midwest,East North Central,Monroe,male,45 to 54,ios,safari,
105,ab2f40ec-a40b-4046-ab02-f256dce85297,2017-09-04 13:30:20.0,1,96,US,TX,HOUSTON,77088,South,West South Central,Houston,male,18 to 24,android,chrome,"2017-08-18 18:54:44.0 : 403060619,20184888,91495470,203266115,4101327 | 2017-08-19 14:36:03.0 : 403060619,20184888,91495470,203266115,4101327"
106,335e58ab-aa8e-4e3d-8c2c-72e2f90bdf98,2017-10-22 17:18:31.0,2,152,US,FL,FT. MYERS-NAPLES,33948,South,South Atlantic,Port Charlotte,male,35 to 44,ios,safari,
107,a192e60b-d1f9-4fc7-a416-c868e6d08f9c,2017-11-03 21:54:40.0,3,281,US,PA,PHILADELPHIA,19152,Northeast,Mid-Atlantic,Philadelphia,male,45 to 54,android,chrome,
108,14f4066e-bde4-48e7-b115-7b06be0db8e0,2017-10-16 19:04:20.0,2,138,US,VA,NORFOLK-PORTSMTH-NEWPT NWS,23669,South,South Atlantic,Hampton,female,35 to 44,android,chrome,"2017-10-10 23:27:07.0 : 406497658,20367831,93660727,206152637,4038699"
109,7de9b0b6-de42-497d-827f-1475a9553c55,2017-08-28 20:13:09.0,1,140,US,LA,MONROE-EL DORADO,71203,South,West South Central,Monroe,female,18 to 24,windows,chrome,
110,d73cc0f8-67d3-4ba5-9d80-3d0419502888,2017-10-06 12:55:57.0,2,75,US,IL,,,Midwest,East North Central,,male,18 to 24,android,chrome,
111,afa11627-bff6-40e5-85b5-ed84a5a2d717,2017-10-25 05:52:18.0,2,156,US,VA,"WASHINGTON, DC (HAGRSTWN)",20147,South,South Atlantic,Ashburn,male,18 to 24,ios,safari,
112,5f739c21-7a2a-41c7-9f06-011593d3a121,2017-10-22 20:09:07.0,2,191,US,TX,SAN ANTONIO,78207,South,West South Central,San Antonio,male,45 to 54,ios,other,
113,8f93bc6e-5ce6-46cf-8526-a14a50d57565,2017-10-29 23:18:10.0,3,118,US,WI,MILWAUKEE,53202,Midwest,East North Central,Milwaukee,male,18 to 24,android,chrome,
114,af14e127-6e47-4ad9-9703-eff74d533671,2017-10-26 23:17:45.0,2,120,US,GA,ATLANTA,30309,South,South Atlantic,Atlanta,male,45 to 54,android,none,
